Brand,Model,Type,Design,Connection,Cushion Material,Pressure Range,Weight,Sound Level,Magnetic Clips,Key Features,Best For,Algorithm Match
ResMed,AirFit P10,Nasal Pillows,Minimal Contact,Front,Silicone pillows,4-25 cm H2O,1.6 oz (45g),21 dB,No,"Ultra-quiet, lightweight, minimal design","Nose breathers, Claustrophobic, Side sleepers",Nose-only + No obstruction
ResMed,AirFit P30i,Nasal Pillows,Top-of-Head (Tube-up),Top,Silicone pillows,4-25 cm H2O,2.1 oz (60g),21 dB,No,"Top-of-head hose, pillow-friendly, active sleeper design","Nose breathers, Side/stomach sleepers, Active sleepers","Nose-only + Side position, High movement"
ResMed,AirFit N20,Nasal Mask,Traditional Nasal,Front,InfinitySeal silicone,4-40 cm H2O,2.5 oz (71g),25 dB,Yes,"InfinitySeal cushion, Magnetic clips, Plush headgear","All pressure ranges, Balanced comfort","Nose-only, Mixed (trial), Assistant needed"
ResMed,AirFit N20 Classic,Nasal Mask,Traditional with Forehead Support,Front,InfinitySeal silicone,4-40 cm H2O,2.8 oz (79g),25 dB,No,"InfinitySeal cushion, Forehead support","Nose breathers, Forehead stability preference",Nose-only + Traditional design
ResMed,AirFit N10,Nasal Mask,Compact Nasal,Front,Dual-wall silicone,4-20 cm H2O,1.8 oz (51g),26 dB,No,"Compact design, lightweight","Nose breathers, Compact profile",Nose-only + No obstruction
ResMed,AirFit N30,Nasal Cradle,Under-Nose Cradle,Front,Silicone cradle,4-30 cm H2O,1.9 oz (54g),23 dB,No,"Under-nose design, no nose bridge pressure","Claustrophobic, Spectacle wearers",Nose-only + Claustrophobic
ResMed,AirFit N30i,Nasal Cradle,Top-of-Head Cradle,Top,Silicone cradle,4-30 cm H2O,2.0 oz (57g),23 dB,No,"Top-of-head hose, under-nose cradle, pillow-friendly","Side/stomach sleepers, Active sleepers","Nose-only + Side position, High movement"
ResMed,AirTouch N30i,Nasal Cradle,Top-of-Head Fabric,Top,ComfiSoft fabric,4-30 cm H2O,2.1 oz (60g),23 dB,No,"Fabric-wrapped, breathable, moisture-wicking, washable","Sensitive skin, Premium comfort",Nose-only + Skin sensitivity
ResMed,AirFit X30i,Oral-Nasal,Top-of-Head Oral-Nasal,Top,Silicone oral-nasal,4-30 cm H2O,2.5 oz (71g),23 dB,No,"Covers mouth and nose, tube-up design, bridges nasal/FF","Mouth breathers seeking less invasive option, Active sleepers","Mouth-only + Claustrophobic, Mixed (trial), Side position"
ResMed,AirFit F20,Full Face,Traditional Full Face,Front,InfinitySeal silicone,4-40 cm H2O,4.1 oz (116g),25 dB,Yes,"InfinitySeal, Magnetic clips, Plush headgear, Gold standard","Mouth breathers, Mixed breathers, High pressure","Mouth-only, Mixed (all), Deviated septum, Assistant needed"
ResMed,AirTouch F20,Full Face,Traditional FF Memory Foam,Front,UltraSoft memory foam,4-40 cm H2O,4.2 oz (119g),25 dB,Yes,"Memory foam cushion, premium comfort, magnetic clips","Sensitive skin, Pressure mark concerns","Mouth-only + Skin sensitivity, Mixed + Skin sensitivity"
ResMed,AirFit F30,Full Face,Minimal Contact Full Face,Front,Silicone under-nose,5-30 cm H2O,3.1 oz (88g),24 dB,No,"Under-nose design, open vision, QuickFit headgear","Claustrophobic, Spectacle wearers","Mouth-only + Claustrophobic, Mixed + Claustrophobic"
ResMed,AirFit F30i,Full Face,Top-of-Head Full Face,Top,Silicone under-nose,5-30 cm H2O,3.3 oz (94g),24 dB,No,"Top-of-head hose, under-nose, springfit frame, pillow-friendly","Side/stomach sleepers, Active sleepers","Mouth-only + Side position, Mixed + High movement"
ResMed,AirFit F40,Full Face,Ultra-Compact Full Face,Front,AdaptiSeal silicone,4-30 cm H2O,2.6 oz (74g),24 dB,No,"Smallest full face, ultra-compact, low profile","Claustrophobic, Active sleepers, Minimal bulk",Mouth-only + Claustrophobic
ResMed,Mirage Quattro,Full Face,Traditional FF Forehead Support,Front,Dual-wall Spring Air,4-40 cm H2O,5.2 oz (147g),27 dB,No,"Forehead support, highly adjustable, high pressure rated","Very high pressure users, Traditional design",Mouth-only + High pressure
ResMed,Quattro Air,Full Face,Traditional Full Face,Front,Dual-wall Spring Air,3-40 cm H2O,4.5 oz (128g),27 dB,No,"Spring Air cushion, QuickFit headgear, lighter than Mirage","Versatile full face option, High pressure","Mouth-only, Mixed"
Philips,DreamWear Silicone Pillows,Nasal Pillows,Top-of-Head Pillows,Top,Silicone pillows (modular),4-30 cm H2O,1.9 oz (54g),~25 dB,No,"Modular frame, open vision, interchangeable cushions","Nose breathers, Side sleepers, Claustrophobic","Nose-only + No obstruction, Facial hair"
Philips,DreamWear Nasal,Nasal Mask,Top-of-Head Under-Nose,Top,Silicone under-nose (modular),4-30 cm H2O,2.1 oz (60g),~25 dB,No,"Top-of-head hose, open vision, modular frame","Nose breathers, Side sleepers, Claustrophobic","Nose-only, Mixed (trial), Freedom of movement"
Philips,DreamWear Gel Nasal,Nasal Mask,Top-of-Head Gel Cushion,Top,Gel cushion (modular),4-30 cm H2O,2.2 oz (62g),~25 dB,No,"Gel cushion for softness, modular frame","Sensitive skin, Premium comfort",Nose-only + Skin sensitivity
Philips,DreamWisp Nasal,Nasal Mask,Top-of-Head Minimal Frame,Top,Soft silicone,4-25 cm H2O,1.7 oz (48g),~24 dB,No,"Ultra-minimal frame, lightweight","Minimalist design preference, Lightweight",Nose-only + Minimal preference
Philips,Wisp Nasal,Nasal Mask,Minimal Nasal,Front,Clear silicone,4-20 cm H2O,1.6 oz (45g),~26 dB,No,"Lightweight, clear frame, fabric headgear","Claustrophobic, Lightweight preference",Nose-only + Claustrophobic
Philips,DreamWear Full Face,Full Face,Top-of-Head Full Face,Top,Silicone under-nose (modular),4-30 cm H2O,3.4 oz (96g),~25 dB,Yes,"Top-of-head hose, magnetic clips, modular frame, open vision","Mouth/mixed breathers, Side sleepers, Claustrophobic","Mouth-only, Mixed (all), Side position, Freedom of movement"
Philips,Amara View,Full Face,Minimal Contact Full Face,Front,Silicone under-nose (modular),4-30 cm H2O,3.8 oz (108g),~26 dB,No,"Open field of vision, under-nose design, minimal contact","Claustrophobic, Spectacle wearers, Reading/TV","Mouth-only + Claustrophobic, Spectacle wearers"
Philips,Amara Gel,Full Face,Traditional FF Gel Cushion,Front,Gel cushion,4-30 cm H2O,4.6 oz (130g),~27 dB,No,"Gel cushion for comfort, forehead support, traditional","Sensitive skin, Traditional design",Mouth-only + Skin sensitivity
Philips,FitLife Total Face,Total Face,Total Face Seal,Front,Silicone full perimeter,4-25 cm H2O,5.1 oz (145g),~27 dB,No,"Seals around entire face, handles facial hair/dentures","Facial hair, Dentures, Irregular anatomy",Facial hair + Mouth/mixed
